timestamp,Infrared to Red Signal Ratio
05/04/22 00:50:00,0
05/04/22 00:51:00,34
05/04/22 00:52:00,-7
05/04/22 00:53:00,-40
05/04/22 00:54:00,7
05/04/22 00:55:00,-4
05/04/22 00:56:00,-2
05/04/22 00:57:00,-13
05/04/22 00:58:00,0
05/04/22 00:59:00,-13
05/04/22 01:00:00,-24
05/04/22 01:01:00,4
05/04/22 01:02:00,26
05/04/22 01:03:00,-16
05/04/22 01:04:00,-5
05/04/22 01:05:00,0
05/04/22 01:06:00,0
05/04/22 01:07:00,6
05/04/22 01:08:00,-6
05/04/22 01:09:00,0
05/04/22 01:10:00,0
05/04/22 01:11:00,8
05/04/22 01:12:00,51
05/04/22 01:13:00,2
05/04/22 01:14:00,-8
05/04/22 01:15:00,0
05/04/22 01:16:00,6
05/04/22 01:17:00,-14
05/04/22 01:18:00,-43
05/04/22 01:19:00,-9
05/04/22 01:20:00,-1
05/04/22 01:21:00,-15
05/04/22 01:22:00,-45
05/04/22 01:23:00,-25
05/04/22 01:24:00,0
05/04/22 01:25:00,6
05/04/22 01:26:00,37
05/04/22 01:27:00,14
05/04/22 01:28:12,40
05/04/22 01:29:12,-13
05/04/22 01:30:12,-30
05/04/22 01:31:12,-37
05/04/22 01:32:49,27
05/04/22 01:33:49,0
05/04/22 01:34:49,21
05/04/22 01:35:49,21
05/04/22 01:36:49,-2
05/04/22 01:37:49,3
05/04/22 01:38:49,0
05/04/22 01:39:49,0
05/04/22 01:40:49,-4
05/04/22 01:41:49,16
05/04/22 01:42:49,-3
05/04/22 01:43:49,-10
05/04/22 01:44:49,-19
05/04/22 01:45:49,0
05/04/22 01:46:49,-3
05/04/22 01:47:49,0
05/04/22 01:48:49,-8
05/04/22 01:49:49,0
05/04/22 01:50:49,0
05/04/22 01:51:49,48
05/04/22 01:52:49,31
05/04/22 01:53:49,4
05/04/22 01:54:49,0
05/04/22 01:55:49,13
05/04/22 01:56:49,-9
05/04/22 01:57:50,19
05/04/22 01:58:50,1
05/04/22 01:59:50,-1
05/04/22 02:00:50,3
05/04/22 02:01:52,13
05/04/22 02:02:52,-8
05/04/22 02:03:52,-1
05/04/22 02:04:52,0
05/04/22 02:05:52,-17
05/04/22 02:06:52,21
05/04/22 02:07:52,-1
05/04/22 02:08:52,-49
05/04/22 02:09:52,23
05/04/22 02:10:52,18
05/04/22 02:11:52,-2
05/04/22 02:12:52,3
05/04/22 02:13:52,1
05/04/22 02:14:52,0
05/04/22 02:15:52,1
05/04/22 02:16:52,0
05/04/22 02:17:52,-13
05/04/22 02:18:52,-1
05/04/22 02:19:52,-34
05/04/22 02:20:52,-3
05/04/22 02:21:52,5
05/04/22 02:22:52,0
05/04/22 02:23:52,-17
05/04/22 02:24:52,0
05/04/22 02:25:52,0
05/04/22 02:26:52,-43
05/04/22 02:27:52,0
05/04/22 02:28:52,-17
05/04/22 02:29:52,2
05/04/22 02:30:52,-1
05/04/22 02:31:52,0
05/04/22 02:32:52,3
05/04/22 02:33:52,0
05/04/22 02:34:52,34
05/04/22 02:35:52,-39
05/04/22 02:36:52,-17
05/04/22 02:37:52,0
05/04/22 02:38:52,-56
05/04/22 02:39:52,0
05/04/22 02:40:52,-43
05/04/22 02:41:52,-69
05/04/22 02:42:52,-13
05/04/22 02:43:52,-72
05/04/22 02:44:52,-1
05/04/22 02:45:52,-20
05/04/22 02:46:52,-65
05/04/22 02:47:52,-13
05/04/22 02:48:52,-33
05/04/22 02:49:52,-68
05/04/22 02:50:52,-4
05/04/22 02:51:52,-26
05/04/22 02:52:52,28
05/04/22 02:53:52,16
05/04/22 02:54:52,-6
05/04/22 02:55:52,13
05/04/22 02:56:52,-32
05/04/22 02:57:52,0
05/04/22 02:58:52,1
05/04/22 02:59:52,2
05/04/22 03:00:52,-1
