timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2023-09-01T04:54:00,12.8,0.6,3.654,12.8,0.6,3.654,-1.0,0.0,1.96,-1.0,0.0,0.0
2023-09-02T05:45:30,13.6,0.9,6.794,13.6,0.9,6.794,-1.0,0.0,1.667,-1.0,0.0,1.466
2023-09-03T05:43:00,12.6,0.5,4.144,12.6,0.5,4.144,-1.0,0.0,1.819,-1.0,0.0,1.284
2023-09-04T04:33:30,13.0,1.0,5.989,13.0,1.0,5.989,13.0,1.4,6.84,13.4,2.0,3.639
2023-09-05T05:29:30,12.6,0.9,7.219,12.6,0.9,7.219,13.6,1.0,5.484,-1.0,0.0,1.899
2023-09-06T04:37:00,12.6,0.7,6.149,12.6,0.7,6.149,13.8,0.6,6.681,13.8,1.6,3.178
2023-09-07T05:25:30,13.4,0.9,8.496,13.4,0.9,8.496,13.6,1.0,4.71,13.6,0.9,2.821
2023-09-09T04:51:00,13.0,0.7,4.028,13.0,1.4,3.993,13.0,0.7,4.028,-1.0,0.0,2.352
2023-09-10T05:55:00,13.8,0.9,8.717,13.8,0.9,8.717,13.6,1.2,6.669,-1.0,0.0,1.982
2023-09-11T05:58:00,13.6,0.7,6.706,13.6,0.7,6.706,13.8,0.9,3.256,-1.0,0.0,2.23
2023-09-12T05:46:30,12.8,0.7,7.495,12.8,0.7,7.495,13.2,0.9,4.701,-1.0,0.0,1.792
2023-09-13T05:36:30,13.2,1.0,5.874,13.2,1.0,5.874,13.4,1.1,3.967,-1.0,0.0,1.986
2023-09-14T05:42:30,13.4,0.7,4.843,13.4,0.7,4.843,13.4,0.8,8.492,-1.0,0.0,1.806
2023-09-15T05:10:30,13.2,0.9,8.952,13.2,0.9,8.952,13.8,0.6,7.438,-1.0,0.0,1.415
2023-09-16T06:04:00,13.0,0.9,11.268,13.0,0.9,11.268,12.8,1.0,9.568,-1.0,0.0,1.942
2023-09-17T06:09:30,12.6,1.0,10.118,12.6,1.0,10.118,13.2,1.0,6.354,-1.0,0.0,1.979
2023-09-18T05:16:30,13.4,1.0,8.034,13.4,1.0,8.034,13.2,1.0,5.631,-1.0,0.0,1.535
2023-09-19T05:08:00,13.6,0.9,7.924,13.6,0.9,7.924,13.2,1.1,4.303,13.2,0.9,3.737
2023-09-20T05:42:30,13.2,0.9,10.196,13.2,0.9,10.196,13.2,1.2,5.846,11.2,0.5,2.902
2023-09-21T05:15:00,14.4,1.3,10.561,14.4,1.3,10.561,14.6,0.9,2.72,13.4,0.6,2.51
2023-09-22T03:47:30,15.4,1.0,8.669,15.4,1.0,8.669,14.6,1.0,5.576,-1.0,0.0,0.0
2023-09-23T05:11:00,15.4,0.8,9.999,15.4,0.8,9.999,14.6,1.1,4.998,-1.0,0.0,0.0
2023-09-24T04:23:30,15.0,1.2,10.022,15.0,1.2,10.022,14.8,1.2,7.564,14.6,0.7,4.362
2023-09-25T04:46:30,14.2,1.2,4.702,14.2,1.2,4.702,13.8,1.0,5.643,-1.0,0.0,2.37
2023-09-26T05:36:00,14.4,1.1,7.045,14.4,1.1,7.045,13.8,1.5,6.253,14.2,1.2,3.662
2023-09-27T05:18:00,13.2,0.6,3.325,13.2,0.6,3.325,-1.0,0.0,2.118,-1.0,0.0,1.637
2023-09-28T06:00:00,14.2,1.0,10.024,14.2,1.0,10.024,14.2,0.9,7.003,13.6,1.1,4.049
2023-09-29T05:43:30,13.4,1.0,11.216,13.4,1.0,11.216,13.4,1.3,4.366,-1.0,0.0,1.312
2023-09-30T06:02:00,13.2,0.9,8.367,13.2,0.9,8.367,14.0,0.6,3.804,-1.0,0.0,1.613
